barn n.谷仓;畜棚
gamble v.赌博
intervene v.干涉
bag n.袋子
exchange v./n.交换
hamburger n.汉堡包
anticipate v.预料
handful n.一把
financial adj.财政的
few adj.少数的
continuous adj.连续的
consideration n.考虑
fill v.填满
intervene v.干涉
here adv.这里
face-to-face adv.面对面地
occasion n.场合
tongue n.舌头
wildlife n.野生动物
respect n./v.尊敬;尊重
ripe adj.成熟的
young adj.年轻的
reputation n.名誉
technology n.科技
equipment n.装备;设备
wireless adj.无线的
registration n.注册;登记
woodwork n.木工;木制品
withdraw v.撤退;提取
theme n.主题;题目
instead adv.代替;反而
oar n.桨;橹
listen v.听;倾听
systematic adj.系统的;有计划的
death n.死;死亡
news n.新闻;消息
survival n.生存;幸存
serve v.服务;服役
warpath n.战争
pan n.平底锅;盘
