答错单词:demonstration n.示威
答错单词:evident adj.明显的
答错单词:lasting adj.持久的
答错单词:expression n.表达
答错单词:distraction n.分心
答错单词:lately adv.最近
答错单词:interpretation n.解释
答错单词:spin v./n.旋转
答错单词:possibly adv.可能地
答错单词:stop v./n.停止
答错单词:sort n./v.种类；分类
答错单词:praise v./n.赞扬
答错单词:publishing n.出版
答错单词:gross adj.总的
答错单词:fine adj.好的
答错单词:fence n.栅栏
答错单词:tiresome adj.累人的;令人厌烦的
答错单词:unimpeachable adj.无可指责的;无瑕疵的
答错单词:slum n.贫民窟;棚户区
答错单词:resent v.怨恨;愤恨
答错单词:jelly n.果冻;胶状物
答错单词:melancholy n.忧郁;悲哀
答错单词:commerce n.商业;贸易
答错单词:container n.容器;集装箱
答错单词:sieve n.筛子;筛
未答单词:savory adj.风味的;可口的
未答单词:suave adj.温文尔雅的;圆滑的
未答单词:passionate adj.热情的;热烈的
未答单词:pick v.挑选;采摘
未答单词:treason n.叛国;背叛
未答单词:opening n.开始;空缺
未答单词:gathering n.聚集;集会
未答单词:narrative n.叙述;故事
未答单词:casino n.赌场
未答单词:symbol n.符号;象征
答错单词:syllabus n.教学大纲;纲要
未答单词:cheque n.支票
未答单词:revise v.修订;修改
未答单词:harassment n.骚扰;烦恼
未答单词:membrane n.膜;薄膜
未答单词:audience n.观众;听众
未答单词:fundamental adj.基本的;重要的
未答单词:announcement n.通告，布告
答错单词:character n.性格;字符
未答单词:grandfather n.祖父;外祖父
答错单词:tenor n.男高音;要点
答错单词:diploma n.毕业文凭;文凭
未答单词:unction n.unction;油脂
答错单词:rite n.仪式;礼节
未答单词:herb n.草药;药草
未答单词:tank n.坦克;大容器
未答单词:parameter n.参数;界限
未答单词:justice n.正义;公正
答错单词:ridge n.岭;脊
答错单词:robe n.长袍;礼服
未答单词:formation n.形成;构造
未答单词:enemies n.敌人;仇敌
答错单词:ventilate v.通风;使空气流通
答错单词:pursue v.追求;追赶
答错单词:immense adj.巨大的;广大的
答错单词:promenade n./v.散步;漫步
答错单词:economy n.经济;节约
